name,position,height_cm,weight_kg,age,foot,pace,passing,defending,finishing,aerial_duels,tackling
David Raya,GK,190,82,29,R,48,62,30,25,86,32
Aaron Ramsdale,GK,188,83,26,R,50,60,32,28,84,34
William Saliba,DEF,192,92,23,R,78,71,89,38,88,88
Gabriel Magalhaes,DEF,190,86,26,L,72,67,87,42,86,86
Ben White,DEF,185,78,26,R,75,72,82,35,80,82
Takehiro Tomiyasu,DEF,188,84,26,R,70,66,84,33,83,85
Oleksandr Zinchenko,DEF,175,70,27,L,74,80,76,40,70,72
Jurrien Timber,DEF,179,78,23,R,78,70,83,36,78,84
Jakub Kiwior,DEF,189,80,24,L,73,66,81,34,79,80
Declan Rice,MID,185,82,25,R,73,80,75,58,74,74
Thomas Partey,MID,185,82,30,R,70,78,73,55,73,72
Martin Ødegaard,MID,178,68,25,L,74,90,58,64,60,58
Jorginho,MID,180,68,31,R,60,88,60,50,58,60
Emile Smith Rowe,MID,182,74,23,R,76,78,55,62,58,56
Fábio Vieira,MID,170,64,23,L,74,82,52,60,55,55
Bukayo Saka,FWD,178,72,22,L,88,79,45,86,60,45
Gabriel Jesus,FWD,175,73,27,R,87,75,50,85,64,48
Leandro Trossard,FWD,172,70,29,R,84,76,44,82,58,42
Eddie Nketiah,FWD,180,75,25,R,86,68,42,84,62,40
Reiss Nelson,FWD,175,72,24,R,89,70,40,78,57,40
