position,height_cm,weight_kg,pace,passing,defending,finishing,aerial_duels,tackling
DEF,188,73,68,61,82,39,85,83
MID,180,75,72,82,58,55,61,69
FWD,175,75,83,80,50,87,70,59
DEF,180,81,79,77,84,53,77,87
MID,181,71,77,82,63,56,56,57
GK,190,84,52,57,26,33,90,33
GK,184,90,46,63,23,30,84,32
MID,185,69,81,76,64,46,63,58
FWD,180,66,88,72,55,85,71,48
GK,181,84,49,63,29,29,77,22
DEF,184,81,74,69,78,34,84,82
MID,171,80,84,92,65,54,64,66
FWD,171,70,84,80,57,80,60,41
MID,170,72,72,87,60,50,57,73
DEF,187,77,66,79,80,32,81,84
MID,184,69,80,74,58,52,45,61
FWD,180,62,89,79,43,80,78,50
DEF,178,87,69,80,85,36,84,89
MID,176,77,64,78,62,63,64,62
MID,180,73,86,68,50,63,62,63
DEF,185,87,84,59,81,40,85,83
FWD,176,70,85,81,39,91,68,42
DEF,188,78,90,71,87,33,84,86
DEF,187,80,73,70,82,29,75,93
DEF,185,79,65,76,89,51,84,86
FWD,176,63,89,70,43,77,63,40
FWD,179,75,79,72,50,90,70,49
DEF,188,75,66,63,91,40,80,83
MID,175,77,74,82,52,57,67,74
MID,178,74,79,82,57,65,70,54
DEF,186,71,65,59,84,37,82,76
FWD,179,75,92,70,48,81,67,44
DEF,187,81,69,79,91,30,72,86
MID,185,69,71,75,63,71,67,56
FWD,181,65,88,72,43,90,73,48
FWD,184,73,90,74,41,75,70,47
FWD,183,71,90,74,40,89,74,47
FWD,168,66,90,74,60,82,74,54
MID,179,81,74,79,55,69,53,51
DEF,188,78,76,74,87,32,81,91
DEF,183,84,75,65,74,23,82,93
FWD,178,71,75,61,55,92,55,47
DEF,185,82,79,80,85,31,79,81
MID,181,85,62,78,64,71,60,62
GK,185,80,44,57,23,32,86,47
MID,183,61,81,70,46,45,52,65
DEF,183,75,62,62,80,51,74,85
FWD,179,71,86,72,54,86,73,40
DEF,180,78,62,75,84,28,83,83
MID,179,73,75,82,60,64,65,52
DEF,181,75,74,67,86,40,85,85
DEF,184,80,68,67,89,26,91,82
MID,182,69,74,83,58,56,55,52
MID,182,75,77,69,53,54,56,69
GK,190,86,57,77,23,34,83,36
FWD,184,75,90,69,52,86,66,54
DEF,183,88,71,65,82,30,89,90
MID,186,72,81,79,68,35,50,69
MID,177,74,71,82,47,54,66,56
MID,182,72,77,83,74,46,56,50
DEF,180,84,65,71,83,34,79,85
FWD,176,81,92,70,34,95,76,37
DEF,186,75,86,63,84,33,83,75
DEF,184,86,70,62,82,36,80,71
DEF,188,82,57,59,80,31,78,88
DEF,184,82,69,83,78,56,81,83
MID,184,76,67,86,61,65,61,51
MID,182,76,67,80,67,50,57,56
MID,185,74,83,92,54,69,62,56
GK,193,88,50,63,39,30,90,43
MID,182,74,73,72,52,69,58,62
DEF,188,81,72,69,83,35,88,88
DEF,183,77,71,70,77,28,84,91
MID,176,74,79,79,67,59,67,65
GK,188,80,49,57,35,30,82,40
MID,174,72,75,77,58,54,60,43
MID,180,63,80,82,59,51,55,48
FWD,176,70,81,69,58,91,76,50
FWD,188,74,87,75,55,85,67,48
DEF,179,74,64,67,79,43,82,78
GK,192,88,55,64,35,23,88,28
MID,181,67,84,81,63,59,57,48
MID,174,80,81,88,78,61,66,54
MID,177,80,77,74,61,62,61,52
MID,173,65,77,86,58,60,68,64
FWD,172,71,80,72,48,89,60,48
DEF,183,84,73,58,83,50,75,84
FWD,174,70,94,83,44,88,77,48
FWD,174,80,99,82,44,84,68,54
DEF,182,73,69,69,82,37,95,79
MID,173,78,79,86,62,77,64,58
DEF,187,75,60,71,87,58,85,93
MID,182,66,74,75,58,62,63,64
MID,179,68,72,76,57,61,61,63
FWD,176,82,80,77,49,78,70,48
MID,180,77,68,71,70,52,76,71
FWD,173,75,86,84,55,87,69,53
DEF,187,79,78,68,91,46,88,82
FWD,180,73,84,61,49,86,58,51
MID,177,65,76,80,68,70,62,62
